action,invocations,repoCount,pinnedBySha
actions/checkout@v4,45,2,0
actions/setup-node@v4,20,2,0
github/codeql-action/upload-sarif@v3,17,1,0
actions/github-script@v7,16,1,0
actions/setup-python@v4,14,1,0
aquasecurity/trivy-action@master,11,2,0
actions/setup-java@v4,8,1,0
actions/upload-artifact@v4,7,1,0
docker/login-action@v3,5,1,0
github/codeql-action/upload-sarif@v2,5,2,0
actions/upload-artifact@v3,5,2,0
docker/setup-buildx-action@v3,4,1,0
docker/build-push-action@v5,4,1,0
actions/download-artifact@v4,3,1,0
8398a7/action-slack@v3,3,1,0
actions/github-script@v6,3,2,0
codecov/codecov-action@v3,2,1,0
microsoft/security-devops-action@v1.6.0,2,1,0
actions/cache@v4,2,1,0
endorlabs/github-action@02231267f2d7d3be21f10662fdd39fba143d4bda,2,1,2
docker/metadata-action@v5,2,1,0
github/super-linter@v4,2,1,0
trufflesecurity/trufflehog@main,1,1,0
gitguardian/ggshield-action@v1,1,1,0
github/codeql-action/init@v3,1,1,0
github/codeql-action/analyze@v3,1,1,0
returntocorp/semgrep-action@v1,1,1,0
google/osv-scanner-action@v1,1,1,0
snyk/actions/node@master,1,1,0
terraform-linters/setup-tflint@v4,1,1,0
bridgecrewio/checkov-action@master,1,1,0
actions/cache@v3,1,1,0
actions/configure-pages@v5,1,1,0
actions/jekyll-build-pages@v1,1,1,0
actions/upload-pages-artifact@v3,1,1,0
actions/deploy-pages@v4,1,1,0
peter-evans/create-pull-request@v5,1,1,0
blackduck-inc/black-duck-security-scan@8ad96f48d45560e0f6678e2a0ea63969362d564f,1,1,1
pnpm/action-setup@v2,1,1,0
tj-actions/changed-files@v41,1,1,0
github/codeql-action/init@v4,1,1,0
github/codeql-action/analyze@v4,1,1,0
actions/setup-python@v5,1,1,0
microsoft/DevSkim-Action@v1,1,1,0
NeuraLegion/run-scan@a521767a0c525deeee4814730bad214d25c1abcb,1,1,1
docker/login-action@0567fa5ae8c9a197cb207537dc5cbb43ca3d803f,1,1,1
docker/metadata-action@ed95091677497158a9ff38b314264cd965388d5e,1,1,1
docker/build-push-action@64c9b141502b80dbbd71e008a0130ad330f480f8,1,1,1
redhat-actions/buildah-build@v2,1,1,0
redhat-actions/push-to-registry@v2,1,1,0
redhat-actions/openshift-tools-installer@v1,1,1,0
redhat-actions/oc-login@v1,1,1,0
redhat-actions/oc-new-app@v1,1,1,0
fjogeleit/http-request-action@v1,1,1,0
aquasecurity/tfsec-sarif-action@21ded20e8ca120cd9d3d6ab04ef746477542a608,1,1,1
pnpm/action-setup@v4,1,1,0
actions/setup-java@v3,1,1,0
android-actions/setup-android@v2,1,1,0
softprops/action-gh-release@v1,1,1,0
dependency-check/Dependency-Check_Action@main,1,1,0
actions/dependency-review-action@v4,1,1,0
