repo,stacks,vendorSignals,dominantVendor,dominantVendorSignals,dominantVendorRatio,singleDependencyRisk,hasExternalServiceInventory,vendorsDetected
Trancendos/trancendos-ecosystem,nodejs,7,AWS,2,0.29,LOW,false,AWS:2;Stripe:2;GitHub:1;Vercel:1;OpenAI:1
Trancendos/the-workshop,nodejs,0,none,0,0.00,LOW,false,
Trancendos/the-void,nodejs,0,none,0,0.00,LOW,false,
Trancendos/the-treasury,nodejs,0,none,0,0.00,LOW,false,
Trancendos/the-sanctuary,nodejs,0,none,0,0.00,LOW,false,
Trancendos/the-observatory,nodejs,0,none,0,0.00,LOW,false,
Trancendos/the-nexus,nodejs,0,none,0,0.00,LOW,false,
Trancendos/the-lighthouse,nodejs,0,none,0,0.00,LOW,false,
Trancendos/the-library,nodejs,0,none,0,0.00,LOW,false,
Trancendos/the-ice-box,nodejs,0,none,0,0.00,LOW,false,
Trancendos/the-hive,nodejs,0,none,0,0.00,LOW,false,
Trancendos/the-foundation,nodejs,0,none,0,0.00,LOW,false,
Trancendos/the-forge,nodejs,0,none,0,0.00,LOW,false,
Trancendos/the-dr-ai,nodejs,0,none,0,0.00,LOW,false,
Trancendos/the-cryptex,nodejs,0,none,0,0.00,LOW,false,
Trancendos/the-citadel,nodejs,0,none,0,0.00,LOW,false,
Trancendos/the-agora,nodejs,0,none,0,0.00,LOW,false,
Trancendos/solarscene-ai,nodejs,0,none,0,0.00,LOW,false,
Trancendos/shared-core,nodejs,0,none,0,0.00,LOW,false,
Trancendos/serenity-ai,nodejs,0,none,0,0.00,LOW,false,
Trancendos/sentinel-ai,nodejs,0,none,0,0.00,LOW,false,
Trancendos/secrets-portal,nodejs,0,none,0,0.00,LOW,false,
Trancendos/renik-ai,nodejs,0,none,0,0.00,LOW,false,
Trancendos/queen-ai,nodejs,0,none,0,0.00,LOW,false,
Trancendos/prometheus-ai,nodejs,0,none,0,0.00,LOW,false,
Trancendos/porter-family-ai,nodejs,0,none,0,0.00,LOW,false,
Trancendos/oracle-ai,nodejs,0,none,0,0.00,LOW,false,
Trancendos/norman-ai,nodejs,0,none,0,0.00,LOW,true,
Trancendos/nexus-ai,nodejs,0,none,0,0.00,LOW,false,
Trancendos/mercury-ai,nodejs,0,none,0,0.00,LOW,false,
Trancendos/lunascene-ai,nodejs,0,none,0,0.00,LOW,false,
Trancendos/lille-sc-ai,nodejs,0,none,0,0.00,LOW,false,
Trancendos/iris-ai,nodejs,0,none,0,0.00,LOW,false,
Trancendos/infrastructure,nodejs,0,none,0,0.00,LOW,false,
Trancendos/infinity-portal,nodejs,0,none,0,0.00,LOW,false,
Trancendos/guardian-ai,nodejs,0,none,0,0.00,LOW,false,
Trancendos/echo-ai,nodejs,0,none,0,0.00,LOW,false,
Trancendos/dorris-ai,nodejs,0,none,0,0.00,LOW,false,
Trancendos/cornelius-ai,nodejs,0,none,0,0.00,LOW,false,
Trancendos/chronos-ai,nodejs,0,none,0,0.00,LOW,false,
Trancendos/central-plexus,nodejs,0,none,0,0.00,LOW,false,
Trancendos/atlas-ai,nodejs,0,none,0,0.00,LOW,false,
Trancendos/arcadia,nodejs,0,none,0,0.00,LOW,false,
