repo,defaultBranch,plannedWrites,appliedWrites,skippedDriftCount,skippedDrift,errors
Trancendos/trancendos-ecosystem,main,6,0,2,.github/dependabot.yml;SECURITY.md,.github/CODEOWNERS: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/security-posture.yml: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/ci-standard.yml: gh: Resource not accessible by integration (HTTP 403) | .governance/standards.json: gh: Resource not accessible by integration (HTTP 403) | .governance/external-services.json: gh: Resource not accessible by integration (HTTP 403) | .governance/future-ready-2060.json: gh: Resource not accessible by integration (HTTP 403)
Trancendos/the-workshop,main,8,0,0,,.github/dependabot.yml: gh: Resource not accessible by integration (HTTP 403) | .github/CODEOWNERS: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/security-posture.yml: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/ci-standard.yml: gh: Resource not accessible by integration (HTTP 403) | SECURITY.md: gh: Resource not accessible by integration (HTTP 403) | .governance/standards.json: gh: Resource not accessible by integration (HTTP 403) | .governance/external-services.json: gh: Resource not accessible by integration (HTTP 403) | .governance/future-ready-2060.json: gh: Resource not accessible by integration (HTTP 403)
Trancendos/the-void,main,8,0,0,,.github/dependabot.yml: gh: Resource not accessible by integration (HTTP 403) | .github/CODEOWNERS: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/security-posture.yml: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/ci-standard.yml: gh: Resource not accessible by integration (HTTP 403) | SECURITY.md: gh: Resource not accessible by integration (HTTP 403) | .governance/standards.json: gh: Resource not accessible by integration (HTTP 403) | .governance/external-services.json: gh: Resource not accessible by integration (HTTP 403) | .governance/future-ready-2060.json: gh: Resource not accessible by integration (HTTP 403)
Trancendos/the-treasury,main,8,0,0,,.github/dependabot.yml: gh: Resource not accessible by integration (HTTP 403) | .github/CODEOWNERS: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/security-posture.yml: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/ci-standard.yml: gh: Resource not accessible by integration (HTTP 403) | SECURITY.md: gh: Resource not accessible by integration (HTTP 403) | .governance/standards.json: gh: Resource not accessible by integration (HTTP 403) | .governance/external-services.json: gh: Resource not accessible by integration (HTTP 403) | .governance/future-ready-2060.json: gh: Resource not accessible by integration (HTTP 403)
Trancendos/the-sanctuary,main,8,0,0,,.github/dependabot.yml: gh: Resource not accessible by integration (HTTP 403) | .github/CODEOWNERS: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/security-posture.yml: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/ci-standard.yml: gh: Resource not accessible by integration (HTTP 403) | SECURITY.md: gh: Resource not accessible by integration (HTTP 403) | .governance/standards.json: gh: Resource not accessible by integration (HTTP 403) | .governance/external-services.json: gh: Resource not accessible by integration (HTTP 403) | .governance/future-ready-2060.json: gh: Resource not accessible by integration (HTTP 403)
Trancendos/the-observatory,main,8,0,0,,.github/dependabot.yml: gh: Resource not accessible by integration (HTTP 403) | .github/CODEOWNERS: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/security-posture.yml: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/ci-standard.yml: gh: Resource not accessible by integration (HTTP 403) | SECURITY.md: gh: Resource not accessible by integration (HTTP 403) | .governance/standards.json: gh: Resource not accessible by integration (HTTP 403) | .governance/external-services.json: gh: Resource not accessible by integration (HTTP 403) | .governance/future-ready-2060.json: gh: Resource not accessible by integration (HTTP 403)
Trancendos/the-nexus,main,8,0,0,,.github/dependabot.yml: gh: Resource not accessible by integration (HTTP 403) | .github/CODEOWNERS: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/security-posture.yml: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/ci-standard.yml: gh: Resource not accessible by integration (HTTP 403) | SECURITY.md: gh: Resource not accessible by integration (HTTP 403) | .governance/standards.json: gh: Resource not accessible by integration (HTTP 403) | .governance/external-services.json: gh: Resource not accessible by integration (HTTP 403) | .governance/future-ready-2060.json: gh: Resource not accessible by integration (HTTP 403)
Trancendos/the-lighthouse,main,8,0,0,,.github/dependabot.yml: gh: Resource not accessible by integration (HTTP 403) | .github/CODEOWNERS: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/security-posture.yml: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/ci-standard.yml: gh: Resource not accessible by integration (HTTP 403) | SECURITY.md: gh: Resource not accessible by integration (HTTP 403) | .governance/standards.json: gh: Resource not accessible by integration (HTTP 403) | .governance/external-services.json: gh: Resource not accessible by integration (HTTP 403) | .governance/future-ready-2060.json: gh: Resource not accessible by integration (HTTP 403)
Trancendos/the-library,main,8,0,0,,.github/dependabot.yml: gh: Resource not accessible by integration (HTTP 403) | .github/CODEOWNERS: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/security-posture.yml: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/ci-standard.yml: gh: Resource not accessible by integration (HTTP 403) | SECURITY.md: gh: Resource not accessible by integration (HTTP 403) | .governance/standards.json: gh: Resource not accessible by integration (HTTP 403) | .governance/external-services.json: gh: Resource not accessible by integration (HTTP 403) | .governance/future-ready-2060.json: gh: Resource not accessible by integration (HTTP 403)
Trancendos/the-ice-box,main,8,0,0,,.github/dependabot.yml: gh: Resource not accessible by integration (HTTP 403) | .github/CODEOWNERS: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/security-posture.yml: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/ci-standard.yml: gh: Resource not accessible by integration (HTTP 403) | SECURITY.md: gh: Resource not accessible by integration (HTTP 403) | .governance/standards.json: gh: Resource not accessible by integration (HTTP 403) | .governance/external-services.json: gh: Resource not accessible by integration (HTTP 403) | .governance/future-ready-2060.json: gh: Resource not accessible by integration (HTTP 403)
Trancendos/the-hive,main,8,0,0,,.github/dependabot.yml: gh: Resource not accessible by integration (HTTP 403) | .github/CODEOWNERS: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/security-posture.yml: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/ci-standard.yml: gh: Resource not accessible by integration (HTTP 403) | SECURITY.md: gh: Resource not accessible by integration (HTTP 403) | .governance/standards.json: gh: Resource not accessible by integration (HTTP 403) | .governance/external-services.json: gh: Resource not accessible by integration (HTTP 403) | .governance/future-ready-2060.json: gh: Resource not accessible by integration (HTTP 403)
Trancendos/the-foundation,main,8,0,0,,.github/dependabot.yml: gh: Resource not accessible by integration (HTTP 403) | .github/CODEOWNERS: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/security-posture.yml: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/ci-standard.yml: gh: Resource not accessible by integration (HTTP 403) | SECURITY.md: gh: Resource not accessible by integration (HTTP 403) | .governance/standards.json: gh: Resource not accessible by integration (HTTP 403) | .governance/external-services.json: gh: Resource not accessible by integration (HTTP 403) | .governance/future-ready-2060.json: gh: Resource not accessible by integration (HTTP 403)
Trancendos/the-forge,main,8,0,0,,.github/dependabot.yml: gh: Resource not accessible by integration (HTTP 403) | .github/CODEOWNERS: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/security-posture.yml: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/ci-standard.yml: gh: Resource not accessible by integration (HTTP 403) | SECURITY.md: gh: Resource not accessible by integration (HTTP 403) | .governance/standards.json: gh: Resource not accessible by integration (HTTP 403) | .governance/external-services.json: gh: Resource not accessible by integration (HTTP 403) | .governance/future-ready-2060.json: gh: Resource not accessible by integration (HTTP 403)
Trancendos/the-dr-ai,main,8,0,0,,.github/dependabot.yml: gh: Resource not accessible by integration (HTTP 403) | .github/CODEOWNERS: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/security-posture.yml: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/ci-standard.yml: gh: Resource not accessible by integration (HTTP 403) | SECURITY.md: gh: Resource not accessible by integration (HTTP 403) | .governance/standards.json: gh: Resource not accessible by integration (HTTP 403) | .governance/external-services.json: gh: Resource not accessible by integration (HTTP 403) | .governance/future-ready-2060.json: gh: Resource not accessible by integration (HTTP 403)
Trancendos/the-cryptex,main,8,0,0,,.github/dependabot.yml: gh: Resource not accessible by integration (HTTP 403) | .github/CODEOWNERS: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/security-posture.yml: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/ci-standard.yml: gh: Resource not accessible by integration (HTTP 403) | SECURITY.md: gh: Resource not accessible by integration (HTTP 403) | .governance/standards.json: gh: Resource not accessible by integration (HTTP 403) | .governance/external-services.json: gh: Resource not accessible by integration (HTTP 403) | .governance/future-ready-2060.json: gh: Resource not accessible by integration (HTTP 403)
Trancendos/the-citadel,main,8,0,0,,.github/dependabot.yml: gh: Resource not accessible by integration (HTTP 403) | .github/CODEOWNERS: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/security-posture.yml: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/ci-standard.yml: gh: Resource not accessible by integration (HTTP 403) | SECURITY.md: gh: Resource not accessible by integration (HTTP 403) | .governance/standards.json: gh: Resource not accessible by integration (HTTP 403) | .governance/external-services.json: gh: Resource not accessible by integration (HTTP 403) | .governance/future-ready-2060.json: gh: Resource not accessible by integration (HTTP 403)
Trancendos/the-agora,main,8,0,0,,.github/dependabot.yml: gh: Resource not accessible by integration (HTTP 403) | .github/CODEOWNERS: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/security-posture.yml: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/ci-standard.yml: gh: Resource not accessible by integration (HTTP 403) | SECURITY.md: gh: Resource not accessible by integration (HTTP 403) | .governance/standards.json: gh: Resource not accessible by integration (HTTP 403) | .governance/external-services.json: gh: Resource not accessible by integration (HTTP 403) | .governance/future-ready-2060.json: gh: Resource not accessible by integration (HTTP 403)
Trancendos/solarscene-ai,main,8,0,0,,.github/dependabot.yml: gh: Resource not accessible by integration (HTTP 403) | .github/CODEOWNERS: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/security-posture.yml: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/ci-standard.yml: gh: Resource not accessible by integration (HTTP 403) | SECURITY.md: gh: Resource not accessible by integration (HTTP 403) | .governance/standards.json: gh: Resource not accessible by integration (HTTP 403) | .governance/external-services.json: gh: Resource not accessible by integration (HTTP 403) | .governance/future-ready-2060.json: gh: Resource not accessible by integration (HTTP 403)
Trancendos/shared-core,main,8,0,0,,.github/dependabot.yml: gh: Resource not accessible by integration (HTTP 403) | .github/CODEOWNERS: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/security-posture.yml: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/ci-standard.yml: gh: Resource not accessible by integration (HTTP 403) | SECURITY.md: gh: Resource not accessible by integration (HTTP 403) | .governance/standards.json: gh: Resource not accessible by integration (HTTP 403) | .governance/external-services.json: gh: Resource not accessible by integration (HTTP 403) | .governance/future-ready-2060.json: gh: Resource not accessible by integration (HTTP 403)
Trancendos/serenity-ai,main,8,0,0,,.github/dependabot.yml: gh: Resource not accessible by integration (HTTP 403) | .github/CODEOWNERS: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/security-posture.yml: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/ci-standard.yml: gh: Resource not accessible by integration (HTTP 403) | SECURITY.md: gh: Resource not accessible by integration (HTTP 403) | .governance/standards.json: gh: Resource not accessible by integration (HTTP 403) | .governance/external-services.json: gh: Resource not accessible by integration (HTTP 403) | .governance/future-ready-2060.json: gh: Resource not accessible by integration (HTTP 403)
Trancendos/sentinel-ai,main,8,0,0,,.github/dependabot.yml: gh: Resource not accessible by integration (HTTP 403) | .github/CODEOWNERS: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/security-posture.yml: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/ci-standard.yml: gh: Resource not accessible by integration (HTTP 403) | SECURITY.md: gh: Resource not accessible by integration (HTTP 403) | .governance/standards.json: gh: Resource not accessible by integration (HTTP 403) | .governance/external-services.json: gh: Resource not accessible by integration (HTTP 403) | .governance/future-ready-2060.json: gh: Resource not accessible by integration (HTTP 403)
Trancendos/secrets-portal,main,6,0,2,.github/dependabot.yml;SECURITY.md,.github/CODEOWNERS: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/security-posture.yml: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/ci-standard.yml: gh: Resource not accessible by integration (HTTP 403) | .governance/standards.json: gh: Resource not accessible by integration (HTTP 403) | .governance/external-services.json: gh: Resource not accessible by integration (HTTP 403) | .governance/future-ready-2060.json: gh: Resource not accessible by integration (HTTP 403)
Trancendos/renik-ai,main,8,0,0,,.github/dependabot.yml: gh: Resource not accessible by integration (HTTP 403) | .github/CODEOWNERS: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/security-posture.yml: gh: Resource not accessible by integration (HTTP 403) | .github/workflows/ci-standard.yml: gh: Resource not accessible by integration (HTTP 403) | SECURITY.md: gh: Resource not accessible by integration (HTTP 403) | .governance/standards.json: gh: Resource not accessible by integration (HTTP 403) | .governance/external-services.json: gh: Resource not accessible by integration (HTTP 403) | .governance/future-ready-2060.json: gh: Resource not accessible by integration (HTTP 403)
